Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador
25,2.48,99.2,82.0,1016.0,4.8,3.67,4.52,4.39,12.8,8.1,49.0,0.0,50.0
26,2.08,85.3,92.7,1050.0,4.11,4.63,4.94,4.33,15.7,15.7,51.0,1.0,0.0
27,3.03,72.4,80.8,936.0,3.81,3.15,4.1,3.16,3.5,15.3,53.0,1.0,2.0
28,2.17,94.9,87.6,846.0,4.76,3.66,3.67,4.2,6.4,17.1,55.0,1.0,4.0
29,2.68,91.4,92.5,818.0,3.28,3.29,3.34,4.27,12.0,3.4,57.0,1.0,6.0
30,2.37,77.5,84.5,1010.0,3.15,4.92,4.1,4.47,16.7,7.9,59.0,1.0,8.0
31,2.58,93.3,70.0,989.0,3.7,3.17,3.46,3.38,17.3,6.8,61.0,1.0,10.0
32,2.62,98.4,88.9,1084.0,4.34,3.67,4.19,3.15,12.5,15.6,63.0,1.0,12.0
33,2.29,96.5,89.1,907.0,4.24,4.65,4.21,3.54,3.6,8.0,65.0,1.0,14.0
34,2.97,92.2,77.9,917.0,4.16,3.48,4.62,3.29,6.9,3.8,67.0,1.0,16.0
35,3.44,75.5,82.1,812.0,3.93,3.27,3.32,3.44,12.1,12.8,69.0,1.0,18.0
36,2.93,95.2,98.6,1019.0,4.5,3.1,3.23,3.69,8.5,12.3,71.0,1.0,20.0
37,3.07,73.3,72.8,977.0,3.1,3.83,4.76,3.89,17.1,16.4,73.0,1.0,22.0
38,3.41,82.7,97.9,1084.0,4.37,3.7,4.61,4.81,9.5,3.2,75.0,1.0,24.0
39,2.27,74.1,93.6,920.0,3.99,4.12,4.59,4.56,7.0,8.2,77.0,1.0,26.0
40,2.45,86.1,75.7,910.0,4.28,3.05,4.73,4.37,14.9,17.6,79.0,1.0,28.0
41,2.39,85.0,73.5,815.0,4.64,3.94,4.63,4.58,3.2,17.2,81.0,1.0,30.0
42,2.51,73.4,72.8,971.0,3.48,3.75,3.53,3.71,10.9,12.3,83.0,1.0,32.0
43,3.38,78.2,94.4,1028.0,4.93,4.75,4.8,3.0,12.6,17.7,85.0,1.0,34.0
44,2.07,82.3,99.8,914.0,3.45,3.62,4.09,3.1,7.9,14.8,87.0,1.0,36.0
45,3.01,85.9,98.3,814.0,3.37,3.79,3.98,4.0,6.7,11.5,89.0,1.0,38.0
46,3.12,86.3,96.9,890.0,3.23,3.78,4.13,4.61,14.0,12.0,91.0,1.0,40.0
47,3.26,78.4,95.2,1008.0,4.14,3.54,3.19,3.28,10.1,10.0,93.0,1.0,42.0
48,2.09,81.9,87.9,856.0,3.61,3.87,4.53,3.99,11.8,12.4,95.0,1.0,44.0
49,2.51,84.9,86.6,967.0,4.1,4.89,4.27,4.73,16.1,12.5,97.0,1.0,46.0
50,3.39,94.6,99.0,1011.0,3.12,3.63,4.12,4.81,8.1,16.0,99.0,1.0,48.0
51,3.32,75.9,87.7,979.0,3.32,3.72,4.83,3.81,3.3,15.2,101.0,1.0,50.0
52,2.94,97.5,77.0,816.0,4.99,3.8,3.18,3.88,8.2,10.8,103.0,2.0,0.0
53,2.11,98.2,74.8,854.0,3.4,4.81,4.7,3.28,8.1,17.4,105.0,2.0,2.0
54,3.43,84.6,86.9,870.0,4.94,3.1,4.92,3.64,5.4,14.1,107.0,2.0,4.0
55,3.43,72.8,92.2,881.0,4.66,3.68,3.23,4.22,11.9,9.7,109.0,2.0,6.0
56,3.2,90.2,81.2,1016.0,4.47,4.46,3.51,3.72,4.1,5.3,111.0,2.0,8.0
57,2.57,73.3,89.5,839.0,3.51,3.58,3.94,4.6,16.8,5.9,113.0,2.0,10.0
58,3.34,99.2,91.9,942.0,4.28,3.59,3.62,4.45,14.6,5.7,115.0,2.0,12.0
59,3.42,96.3,98.3,872.0,3.01,3.09,3.21,3.86,4.3,14.9,117.0,2.0,14.0
60,3.37,86.6,89.7,1077.0,4.6,3.12,4.91,3.31,10.4,14.3,119.0,2.0,16.0
61,3.14,75.1,91.2,979.0,4.34,3.07,4.83,3.0,3.9,14.0,121.0,2.0,18.0
62,2.91,76.3,72.0,968.0,3.87,4.26,3.72,3.19,12.1,13.4,123.0,2.0,20.0
63,2.94,97.1,97.9,1035.0,4.29,3.88,3.48,4.78,14.7,15.3,125.0,2.0,22.0
64,2.38,99.6,91.9,864.0,4.37,3.16,4.18,3.91,16.3,17.8,127.0,2.0,24.0
65,2.63,93.5,90.6,808.0,4.68,3.79,4.19,4.23,5.7,7.2,129.0,2.0,26.0
66,3.31,73.5,76.8,968.0,3.1,3.34,3.7,4.78,4.5,7.5,131.0,2.0,28.0
67,2.84,75.5,85.6,899.0,3.64,3.93,3.86,3.33,15.4,17.7,133.0,2.0,30.0
68,2.85,99.1,90.6,960.0,4.6,4.12,3.03,3.3,6.5,8.0,135.0,2.0,32.0
69,2.78,98.3,81.7,836.0,3.02,3.89,4.78,4.25,11.9,15.2,137.0,2.0,34.0
70,2.26,71.9,70.1,1030.0,3.44,4.75,3.58,3.62,11.1,11.6,139.0,2.0,36.0
71,2.49,74.5,83.3,962.0,4.39,4.54,3.21,3.86,16.6,14.0,141.0,2.0,38.0
72,2.6,95.7,89.2,843.0,4.75,4.68,3.13,3.15,11.6,12.1,143.0,2.0,40.0
73,3.37,90.3,72.1,1047.0,3.34,4.49,3.16,4.59,11.8,8.0,145.0,2.0,42.0
74,2.52,79.5,83.6,854.0,3.08,4.8,3.31,3.3,17.5,14.4,147.0,2.0,44.0
75,2.89,96.7,91.9,866.0,4.99,4.2,4.15,4.77,15.2,17.2,149.0,2.0,46.0
76,2.3,75.6,83.4,917.0,3.81,4.81,3.58,3.05,12.2,14.0,151.0,2.0,48.0
77,3.41,98.1,97.9,1018.0,4.6,4.29,4.55,3.82,4.4,16.2,153.0,2.0,50.0
78,3.16,96.1,86.4,1005.0,4.22,4.13,4.43,3.36,14.8,7.4,155.0,3.0,0.0
79,3.32,79.7,75.9,873.0,4.9,3.19,3.1,4.11,9.5,5.8,157.0,3.0,2.0
80,2.51,86.5,90.2,917.0,4.53,3.99,4.16,4.84,14.9,7.2,159.0,3.0,4.0
81,3.05,75.9,85.2,1086.0,3.22,4.29,4.86,4.49,10.9,12.8,161.0,3.0,6.0
82,2.76,86.1,96.3,1014.0,4.83,3.32,4.22,4.11,7.1,15.1,163.0,3.0,8.0
83,3.08,78.6,93.3,1040.0,3.59,4.36,4.62,4.38,8.4,15.6,165.0,3.0,10.0
84,2.77,75.1,76.2,932.0,4.37,3.04,3.57,3.05,3.7,17.3,167.0,3.0,12.0
85,3.24,98.4,95.9,899.0,3.16,4.4,3.51,3.46,15.2,12.3,169.0,3.0,14.0
86,3.38,73.1,75.9,1035.0,3.65,3.01,4.87,3.37,7.8,5.0,171.0,3.0,16.0
87,2.11,77.8,70.4,902.0,3.31,3.2,3.86,3.3,7.3,4.7,173.0,3.0,18.0
88,2.29,75.7,71.4,805.0,4.89,4.07,4.05,4.27,9.4,4.5,175.0,3.0,20.0
89,3.18,95.3,97.9,903.0,4.83,4.23,4.59,3.21,5.4,6.4,177.0,3.0,22.0
90,2.83,98.1,84.7,808.0,4.06,4.78,4.06,3.67,4.4,4.0,179.0,3.0,24.0
91,3.06,80.8,81.2,913.0,3.8,4.24,4.04,3.13,10.3,4.2,181.0,3.0,26.0
92,2.47,72.4,87.1,858.0,4.2,4.48,3.18,3.01,4.7,12.2,183.0,3.0,28.0
93,2.25,77.1,79.1,850.0,3.17,3.1,3.54,4.25,8.1,7.4,185.0,3.0,30.0
94,2.1,71.0,77.5,909.0,3.94,4.23,4.34,3.74,14.4,7.4,187.0,3.0,32.0
95,2.83,71.7,93.0,1090.0,3.06,3.96,3.12,3.95,6.8,14.6,189.0,3.0,34.0
96,3.44,73.0,79.5,1058.0,3.19,3.12,3.43,4.12,8.6,15.8,191.0,3.0,36.0
97,2.27,72.4,72.2,1040.0,3.52,3.15,4.8,3.92,8.1,13.2,193.0,3.0,38.0
98,2.3,87.6,72.5,881.0,4.27,3.59,3.97,4.93,10.5,15.9,195.0,3.0,40.0
99,2.0,87.2,90.1,1030.0,3.98,3.77,4.49,3.94,5.7,8.2,197.0,3.0,42.0
100,2.95,79.5,86.4,800.0,4.18,4.17,4.23,3.17,8.4,14.8,199.0,3.0,44.0
101,2.9,90.5,77.0,1006.0,3.01,4.19,3.2,4.62,14.7,16.5,201.0,3.0,46.0
102,3.49,84.7,73.4,948.0,3.23,3.88,4.71,4.32,8.9,3.6,203.0,3.0,48.0
103,2.96,90.1,86.5,844.0,4.56,3.74,4.17,4.75,12.5,4.6,205.0,3.0,50.0
104,2.72,78.5,89.9,819.0,4.2,4.92,4.48,3.53,15.6,5.6,207.0,4.0,0.0
105,2.86,72.5,96.9,925.0,4.58,4.85,4.99,3.21,4.4,9.0,209.0,4.0,2.0
106,3.02,77.0,73.1,800.0,3.63,4.47,4.19,4.7,8.1,13.9,211.0,4.0,4.0
107,2.01,74.5,77.0,1054.0,4.57,3.93,3.15,3.08,9.1,4.6,213.0,4.0,6.0
108,3.22,90.1,78.7,879.0,3.08,4.37,3.36,3.02,5.8,5.3,215.0,4.0,8.0
109,3.24,82.2,83.1,857.0,4.71,4.79,4.94,4.27,3.6,11.6,217.0,4.0,10.0
110,2.83,97.5,71.0,862.0,3.66,3.06,4.08,4.07,15.3,6.7,219.0,4.0,12.0
111,2.64,81.4,78.9,935.0,3.59,3.38,3.94,3.6,5.7,7.3,221.0,4.0,14.0
112,2.38,83.4,83.8,964.0,3.81,3.4,4.5,4.18,5.5,17.8,223.0,4.0,16.0
113,3.03,72.0,75.0,975.0,4.62,4.42,3.7,3.38,12.2,14.5,225.0,4.0,18.0
114,2.93,87.2,75.5,1038.0,4.75,3.2,4.75,4.86,12.7,8.5,227.0,4.0,20.0
115,2.05,75.1,97.7,806.0,4.9,4.95,4.96,3.61,16.1,10.5,229.0,4.0,22.0
116,2.33,83.4,78.2,857.0,4.63,3.41,3.37,3.29,16.7,16.6,231.0,4.0,24.0
117,3.39,81.3,89.2,1039.0,4.44,3.68,3.83,3.29,9.5,3.5,233.0,4.0,26.0
118,2.01,78.8,70.5,1020.0,3.44,4.72,3.76,3.3,9.9,9.9,235.0,4.0,28.0
119,3.45,74.8,88.5,908.0,3.13,3.67,4.05,3.14,13.4,16.5,237.0,4.0,30.0
120,2.27,73.7,79.1,842.0,3.98,4.77,3.04,4.82,8.6,10.5,239.0,4.0,32.0
121,2.32,97.1,70.0,805.0,3.55,3.21,4.84,4.34,12.7,5.8,241.0,4.0,34.0
122,2.39,75.6,94.4,1098.0,4.47,3.95,4.67,4.83,15.6,12.3,243.0,4.0,36.0
123,2.94,98.8,90.4,1055.0,3.87,4.83,3.17,4.65,12.3,8.6,245.0,4.0,38.0
124,2.67,82.5,73.8,926.0,4.45,4.57,4.25,4.07,15.9,3.1,247.0,4.0,40.0
125,3.01,77.2,74.0,853.0,4.29,3.32,3.8,4.59,15.4,12.0,249.0,4.0,42.0
126,2.21,92.7,91.5,927.0,3.41,3.09,4.58,4.35,14.5,4.1,251.0,4.0,44.0
127,2.83,77.4,71.3,811.0,4.44,4.08,4.59,3.05,10.2,7.2,253.0,4.0,46.0
128,3.11,70.9,98.3,948.0,4.85,4.07,4.6,4.8,6.9,4.3,255.0,4.0,48.0
129,2.03,89.8,86.3,1061.0,4.91,4.77,3.89,4.97,5.9,9.2,257.0,4.0,50.0
130,2.88,72.2,72.0,816.0,4.65,4.77,4.72,3.12,16.0,15.6,259.0,5.0,0.0
131,2.67,95.2,75.1,1061.0,3.95,3.17,3.29,3.27,17.1,6.6,261.0,5.0,2.0
132,3.08,98.5,82.0,857.0,3.45,3.97,3.79,4.99,8.2,6.3,263.0,5.0,4.0
133,2.87,81.5,92.9,824.0,4.15,4.66,3.72,3.96,9.0,15.8,265.0,5.0,6.0
134,2.21,80.8,74.5,1052.0,3.95,3.11,3.1,4.6,16.2,14.0,267.0,5.0,8.0
135,2.27,92.4,84.9,993.0,4.44,3.16,3.24,3.81,9.1,6.5,269.0,5.0,10.0
136,3.0,75.6,98.9,1001.0,3.99,3.1,3.74,3.95,5.8,7.1,271.0,5.0,12.0
137,2.87,99.5,81.9,993.0,3.06,4.05,3.31,4.78,12.9,16.0,273.0,5.0,14.0
138,3.38,98.8,90.7,862.0,4.58,3.16,4.75,4.77,12.2,10.7,275.0,5.0,16.0
139,2.36,90.5,71.1,1084.0,3.55,4.75,4.59,4.39,12.9,17.9,277.0,5.0,18.0
140,3.43,81.7,70.1,865.0,3.48,4.74,4.32,4.88,9.5,13.8,279.0,5.0,20.0
141,2.83,71.9,93.7,1032.0,3.94,4.93,3.1,3.11,8.5,3.8,281.0,5.0,22.0
142,2.87,99.5,84.8,967.0,4.13,3.67,4.6,3.53,5.0,16.3,283.0,5.0,24.0
143,3.41,95.8,73.5,988.0,3.71,3.73,4.07,4.2,12.2,17.3,285.0,5.0,26.0
144,2.43,76.5,78.8,911.0,4.66,3.43,3.38,3.04,14.7,3.7,287.0,5.0,28.0
145,2.92,91.6,78.8,950.0,3.85,4.02,3.73,3.45,7.7,14.5,289.0,5.0,30.0
146,3.29,88.4,94.2,890.0,4.97,3.28,4.11,4.43,7.4,13.2,291.0,5.0,32.0
147,2.44,92.8,81.3,1035.0,4.01,3.39,4.23,4.23,9.4,12.1,293.0,5.0,34.0
148,2.49,86.9,83.0,1081.0,4.76,3.13,4.07,4.54,12.8,14.9,295.0,5.0,36.0
149,2.88,72.7,90.2,831.0,3.79,4.57,4.46,4.27,17.0,16.8,297.0,5.0,38.0
150,3.3,93.6,90.2,1064.0,4.7,3.01,4.87,3.4,8.8,8.5,299.0,5.0,40.0
151,2.82,98.2,80.3,1039.0,4.84,3.61,3.04,3.32,5.7,6.4,301.0,5.0,42.0
152,2.86,85.7,92.5,1064.0,4.54,4.28,3.33,3.23,16.0,7.4,303.0,5.0,44.0
153,2.2,89.0,90.1,1024.0,4.49,4.67,3.02,4.1,13.4,4.3,305.0,5.0,46.0
154,2.23,95.5,76.8,978.0,4.27,3.69,3.74,3.21,11.7,8.7,307.0,5.0,48.0
155,3.38,90.7,73.3,832.0,3.81,4.03,3.32,3.27,8.0,6.5,309.0,5.0,50.0
156,2.91,75.7,81.9,845.0,4.93,3.12,3.79,4.69,4.8,16.0,311.0,6.0,0.0
157,2.43,91.1,94.1,1031.0,4.07,3.68,4.63,3.01,5.2,16.7,313.0,6.0,2.0
158,2.82,96.9,70.7,1062.0,3.84,4.48,4.35,3.3,7.8,17.4,315.0,6.0,4.0
159,2.96,81.0,77.3,1092.0,3.11,4.28,4.0,4.12,10.9,11.9,317.0,6.0,6.0
160,2.99,79.7,79.5,806.0,3.91,4.11,4.38,3.82,8.3,14.8,319.0,6.0,8.0
161,2.43,81.8,74.6,1075.0,4.75,3.81,4.76,4.3,11.5,15.8,321.0,6.0,10.0
162,3.06,82.5,94.3,866.0,3.15,3.5,4.42,3.75,15.3,9.5,323.0,6.0,12.0
163,2.76,86.2,83.8,1011.0,3.66,3.94,4.09,3.82,17.6,8.9,325.0,6.0,14.0
164,2.5,87.5,72.7,963.0,4.52,4.11,4.84,4.87,9.6,5.7,327.0,6.0,16.0
165,2.1,86.9,81.4,878.0,3.66,4.57,3.99,3.5,14.9,17.8,329.0,6.0,18.0
166,3.47,84.4,87.6,996.0,3.78,3.56,3.36,3.62,11.9,11.9,331.0,6.0,20.0
167,3.33,80.1,99.0,1084.0,3.58,4.27,4.94,4.86,12.7,11.9,333.0,6.0,22.0
168,3.31,92.3,75.6,1014.0,3.12,4.69,4.52,4.62,16.1,16.5,335.0,6.0,24.0
169,2.53,82.6,88.8,841.0,3.89,3.19,3.81,3.15,5.3,7.8,337.0,6.0,26.0
170,2.76,75.0,75.6,932.0,4.06,3.92,4.64,4.02,13.6,17.0,339.0,6.0,28.0
171,2.27,79.5,76.4,893.0,4.66,3.94,3.84,4.58,10.1,4.6,341.0,6.0,30.0
172,2.97,94.6,94.0,906.0,3.0,3.43,4.81,3.14,10.5,4.7,343.0,6.0,32.0
173,2.36,89.2,70.4,1060.0,3.59,3.15,4.95,4.85,6.1,9.3,345.0,6.0,34.0
174,2.58,75.0,95.9,920.0,3.97,3.79,3.18,4.17,13.7,11.0,347.0,6.0,36.0
175,2.54,74.8,78.7,1033.0,3.14,3.57,3.59,3.1,15.6,8.0,349.0,6.0,38.0
176,2.37,78.7,73.1,859.0,4.85,4.99,4.19,4.71,9.9,3.3,351.0,6.0,40.0
177,2.13,82.7,94.7,1098.0,4.31,4.9,3.9,4.3,15.3,14.7,353.0,6.0,42.0
178,2.05,83.6,77.9,1046.0,3.84,3.76,3.74,4.84,6.5,11.7,355.0,6.0,44.0
179,2.85,97.1,94.9,854.0,4.68,3.6,4.96,4.59,5.3,7.8,357.0,6.0,46.0
180,3.31,91.1,96.9,958.0,4.99,4.57,4.45,3.23,3.5,15.5,359.0,6.0,48.0
181,2.4,71.3,82.5,838.0,4.43,4.03,4.12,3.11,12.6,15.2,361.0,6.0,50.0
182,2.79,83.8,79.7,1065.0,4.16,3.43,4.79,4.47,17.8,5.7,363.0,7.0,0.0
183,2.95,80.4,77.9,1069.0,3.75,3.65,4.53,4.15,17.0,9.9,365.0,7.0,2.0
184,2.49,70.5,84.6,853.0,3.37,4.49,3.22,4.2,3.4,5.2,367.0,7.0,4.0
185,2.53,73.6,96.3,1035.0,4.15,4.19,3.21,3.93,13.2,17.4,369.0,7.0,6.0
186,2.07,90.2,79.8,1043.0,4.62,4.85,4.34,4.92,15.3,5.9,371.0,7.0,8.0
187,3.48,85.0,95.2,954.0,3.32,4.08,3.01,4.9,7.1,17.4,373.0,7.0,10.0
188,3.33,75.6,83.6,830.0,3.15,3.7,4.11,4.33,12.6,17.5,375.0,7.0,12.0
189,2.45,76.6,87.0,1069.0,4.47,4.84,4.81,4.32,7.1,11.1,377.0,7.0,14.0
190,2.14,85.9,87.7,935.0,3.55,3.23,4.26,3.59,10.3,9.5,379.0,7.0,16.0
191,2.67,96.1,79.3,955.0,3.14,3.94,4.16,3.73,8.7,3.1,381.0,7.0,18.0
192,2.7,85.4,82.9,840.0,4.81,4.6,4.55,4.82,10.9,4.5,383.0,7.0,20.0
193,2.14,89.3,94.2,981.0,4.12,4.96,4.66,4.66,7.0,9.1,385.0,7.0,22.0
194,3.27,91.8,70.5,863.0,3.92,4.38,4.49,4.33,8.8,11.6,387.0,7.0,24.0
195,3.4,71.4,70.4,1068.0,3.56,3.84,3.17,3.75,4.5,14.2,389.0,7.0,26.0
196,2.07,97.5,82.0,808.0,4.21,4.07,4.99,4.57,9.1,13.7,391.0,7.0,28.0
197,3.47,94.3,95.1,1039.0,4.95,3.26,3.14,3.85,9.9,16.0,393.0,7.0,30.0
198,2.15,84.4,74.6,1003.0,3.83,4.4,4.33,3.53,11.6,8.2,395.0,7.0,32.0
199,2.09,94.5,71.6,1009.0,3.61,4.78,4.61,3.31,14.2,4.1,397.0,7.0,34.0
200,2.37,88.0,75.7,978.0,4.4,3.09,3.62,3.66,5.1,11.6,399.0,7.0,36.0
201,3.16,91.5,74.6,999.0,3.77,4.12,3.8,3.36,15.4,14.0,401.0,7.0,38.0
202,2.15,97.1,81.2,976.0,4.25,4.07,3.09,3.75,3.0,7.2,403.0,7.0,40.0
203,2.47,90.8,79.6,909.0,4.16,3.77,3.75,3.24,3.7,14.9,405.0,7.0,42.0
204,3.46,87.0,93.6,913.0,3.42,3.41,3.78,3.03,16.1,14.2,407.0,7.0,44.0
205,2.7,94.9,86.2,824.0,3.91,3.65,4.71,3.29,9.9,10.3,409.0,7.0,46.0
206,2.1,97.9,72.4,1077.0,3.86,3.01,3.65,3.32,7.7,9.2,411.0,7.0,48.0
207,2.24,91.9,75.7,992.0,3.64,4.76,4.05,4.36,11.1,4.6,413.0,7.0,50.0
208,2.21,81.8,99.4,981.0,3.69,3.33,3.71,4.81,6.6,4.2,415.0,8.0,0.0
209,3.19,89.4,98.6,1059.0,4.22,3.63,4.83,4.3,15.8,3.0,417.0,8.0,2.0
210,2.13,79.5,71.1,1020.0,4.69,3.43,4.68,3.67,8.1,14.0,419.0,8.0,4.0
211,2.67,95.2,75.2,1012.0,3.56,3.62,4.51,4.84,13.0,14.6,421.0,8.0,6.0
212,2.04,83.2,74.2,1073.0,3.1,3.11,3.57,3.53,9.4,15.2,423.0,8.0,8.0
213,2.1,73.3,73.7,804.0,4.09,4.91,3.49,4.6,15.1,11.6,425.0,8.0,10.0
214,2.57,72.3,89.7,1062.0,4.12,3.14,3.38,4.96,4.9,12.7,427.0,8.0,12.0
215,2.48,85.4,96.3,1084.0,3.47,4.79,3.0,4.37,15.3,5.0,429.0,8.0,14.0
216,2.76,84.9,80.2,852.0,3.13,3.71,3.74,3.71,3.4,8.1,431.0,8.0,16.0
217,2.77,88.5,95.0,958.0,3.7,3.54,3.09,3.05,4.0,5.4,433.0,8.0,18.0
218,2.71,84.4,98.3,1018.0,4.73,4.85,3.4,3.84,10.7,9.1,435.0,8.0,20.0
219,2.89,87.9,71.2,857.0,3.18,3.01,3.47,3.35,6.7,15.5,437.0,8.0,22.0
220,2.83,93.5,92.3,976.0,4.61,3.18,4.15,3.49,5.9,16.2,439.0,8.0,24.0
221,3.43,82.0,94.8,1098.0,4.87,3.46,3.97,4.67,15.0,16.9,441.0,8.0,26.0
222,2.56,70.0,92.9,1099.0,3.04,4.88,4.27,3.6,12.6,6.4,443.0,8.0,28.0
223,2.31,71.9,97.2,901.0,4.9,3.43,4.69,3.74,15.9,8.8,445.0,8.0,30.0
224,2.66,99.3,77.0,860.0,3.81,3.75,4.12,3.63,3.1,5.8,447.0,8.0,32.0
225,2.67,83.6,80.5,823.0,4.59,4.36,3.88,3.34,8.1,6.2,449.0,8.0,34.0
226,3.19,75.2,89.6,1055.0,3.01,3.0,3.9,3.34,7.4,3.0,451.0,8.0,36.0
227,2.49,78.5,89.5,1019.0,3.51,4.95,4.39,4.95,4.9,7.5,453.0,8.0,38.0
228,3.21,91.9,78.5,919.0,3.8,3.79,4.34,4.26,17.7,3.8,455.0,8.0,40.0
229,2.1,82.8,93.8,900.0,3.1,4.28,3.58,3.87,7.4,8.2,457.0,8.0,42.0
230,2.5,77.0,96.5,992.0,3.89,3.66,4.92,3.52,13.7,15.4,459.0,8.0,44.0
231,2.46,99.1,74.4,1016.0,3.33,4.58,3.62,3.66,14.9,6.2,461.0,8.0,46.0
232,2.91,76.5,87.9,814.0,4.99,4.6,3.66,4.27,10.1,12.4,463.0,8.0,48.0
233,3.29,86.6,77.9,1001.0,4.97,3.52,3.37,3.5,10.0,6.1,465.0,8.0,50.0
234,2.86,79.8,88.9,986.0,4.09,4.43,4.95,3.99,13.4,5.5,467.0,9.0,0.0
235,3.38,78.5,90.3,1074.0,4.18,3.56,3.96,3.78,14.1,11.7,469.0,9.0,2.0
236,3.35,76.2,80.3,940.0,4.92,3.76,3.74,4.26,16.4,9.4,471.0,9.0,4.0
237,3.1,95.7,97.7,858.0,4.65,4.94,4.38,4.3,14.3,5.7,473.0,9.0,6.0
238,3.05,91.5,84.2,922.0,4.9,4.18,3.84,3.5,7.4,14.9,475.0,9.0,8.0
239,2.39,82.6,95.8,857.0,3.01,3.4,3.12,4.67,7.8,9.3,477.0,9.0,10.0
240,2.22,78.1,74.6,836.0,3.32,3.45,3.91,3.24,4.9,12.1,479.0,9.0,12.0
241,3.06,71.5,84.1,1039.0,4.35,4.33,3.94,4.16,16.5,10.0,481.0,9.0,14.0
242,2.17,71.7,72.3,1002.0,3.29,4.08,4.5,4.67,16.6,11.2,483.0,9.0,16.0
243,3.27,90.7,88.5,1076.0,3.14,3.6,4.22,3.35,8.9,12.7,485.0,9.0,18.0
244,2.84,99.5,71.1,893.0,3.79,3.77,3.39,4.19,17.9,17.0,487.0,9.0,20.0
245,2.03,74.4,93.0,978.0,3.5,3.51,3.95,3.66,7.5,14.5,489.0,9.0,22.0
246,3.44,86.2,78.6,857.0,4.85,3.95,3.57,4.99,15.7,11.6,491.0,9.0,24.0
247,3.38,78.0,80.5,915.0,3.33,3.34,4.47,3.89,12.4,6.3,493.0,9.0,26.0
248,2.7,70.5,83.5,1049.0,3.14,3.08,4.29,3.33,6.3,11.6,495.0,9.0,28.0
249,2.33,94.4,91.9,851.0,4.06,3.88,3.19,3.92,14.7,12.2,497.0,9.0,30.0
250,2.74,79.7,96.9,1059.0,4.61,4.55,4.14,3.19,3.7,5.7,499.0,9.0,32.0
251,3.19,70.9,86.6,1099.0,4.64,3.0,3.95,3.02,15.4,9.8,501.0,9.0,34.0
252,2.71,84.5,87.6,1035.0,4.97,4.41,3.76,4.54,16.8,8.3,503.0,9.0,36.0
253,2.63,92.5,85.4,960.0,4.76,3.71,4.79,3.7,7.9,5.1,505.0,9.0,38.0
254,2.73,74.6,95.9,962.0,4.68,3.68,3.61,4.38,14.8,9.1,507.0,9.0,40.0
